question,final_answer,section,source
Suppose that the value of x is −4. What is the value of the expression (3x − 5) + x?,-21,"Expressions, Relations, and Substitution",
"A brownie recipe is asking for 350 grams of sugar, and a pound cake recipe requires 270 more grams of sugar than a brownie recipe. How many grams of sugar are needed for the pound cake?",620,Translation,
"The size of a compressed file is 1.74 MiB, while the size of the original uncompressed file is 5.5 times greater. What is the size of the uncompressed file, in MiB?",9.57,Translation,
Margo is 5 years old and Ivan is 34 years older than Margo. How old is Ivan?,39,Translation,
"Alice runs 1.9 times faster than Bob, who runs at 4.7 mph. How fast does Alice run, in mph?",8.93,Translation,
"Tao’s first car was 3 times cheaper than his second car, and he bought his second car for 7899 dollars. How much was Tao’s first car?",2633,Translation,
"The profit of ACME Corporation in the second quarter was 8.84 billion dollars, which was 1.3 times greater than the profit in the first quarter. What was ACME’s profit in the first quarter?",6.8,Properties of Equations,
The width of a rectangle is 125 meters shorter than the length. Find the length if the width is 205 meters.,330,Properties of Equations,
The payout for playing a single number on a roulette table is 35 times greater than the bet. Cindy receives the payout of $3850. How much was Cindy’s bet?,110,Properties of Equations,
"A history textbook costs $90, which is five times cheaper than an anatomy textbook. Find the price of the anatomy text.",450,Properties of Equations,
"According to NASA, the global land-ocean temperature index (average surface temperature of Earth) in 2016 is 1.26 ◦C greater than it was in 1920. Find the average temperature in 1920 if it was 0.99 ◦C in 2016.",-0.27,Properties of Equations,
"Damian’s age is one year less than twice the Colin’s age. How old is Colin, if Damian is 17 years old?",9,Properties of Equations,
"Bob says to Alice: if you give me 3 apples and then take half of my apples away, then I will be left with 13 apples. How many apples do I have now?",23,Properties of Equations,
"Alice works two jobs. Her full-time job pays four times more than her part-time job, and together they pay 3800 dollars per month. Find how much her full-time job pays per month.",3040,Solving Linear Equations,
"Rita bought rice and truffles a grocery store, and she paid $67.5 more for truffles than she paid for the rice. Find the price of rice if the total bill was $72.",2.25,Solving Linear Equations,
"Alice, Bob, and Charlie stand to inherit 12000 dollars, and the will stipulates that the inheritance is to be split in such a way that Bob gets two times more money than Alice, while Charlie should get 1600 dollars less than Alice. Find the inheritance amount for Alice.",3400,Solving Linear Equations,
"Katy invested some money into bonds, and the amount of interest earned after one year was 25 times smaller than the original investment. Find the interest if the total amount in her account is $546.",21,Solving Linear Equations,
"An éclair has five times as many calories as a latte, and together they have 264 calories. Find how many calories an éclair has.",220,Solving Linear Equations,
The width of a rectangular parking lot is 40 feet shorter than its length. Find the width of the lot if its perimeter is 640 feet.,140,Solving Linear Equations,
"Consider an astronomical triangle with sides a, b, and c, such that the length of the side b is 3 light-years longer the length of a, and the length of c is 6 times shorter than the length of a. Find the length of side a if the perimeter of the triangle is 55 light-years.",24,Solving Linear Equations,
A monthly pass for light rail is 1.2 times cheaper than the a bundle with 20 day passes. Find the price of the monthly pass if the bundle costs $10 more than the monthly pass.,50,Solving Linear Equations,
"A bread recipe calls for a mix of bleached flour, whole wheat flour, and rye flour. The volume of whole wheat should be two times greater than the volume of bleached, and the volume of rye should be 1 cup less than the volume of bleached. Find the volume in cups for bleached flour if the recipe is asking for 15 cups of flour in total.",4,Solving Linear Equations,
The number 21 is what percent of 70?,30,Percent,
The number 330 is 120% of what number?,275,Percent,
A department store puts up shirts on sale at 35% discount. Find the original price of a shirt before the discount if the new price is $26.,40,Percent,
"A fast food chain raised the price of the beef burger from $5 to $6, and lowered the price of the chicken burger from $6 to $5. Find the percent increase for the price of the beef burger.",20,Percent,
Suzy earned $208 in tips after 20% income tax. What was her pre-tax income?,260,Percent,
"A department store puts dresses up for sale at 30% discount. If the discounted price of a dress is $42, what was the original price before the discount?",60,Percent,
Alice invested $1230 into a savings account with 1.4% monthly interest rate. What is the balance in the account after one month?,1247.22,Percent,
"Brent paid $5824 for a car, and this price included the 4% sales tax. How much did the car cost before the sales tax was applied?",5600,Percent,
Roger paid $238 for a webcam during a 15%-off sale. Find the original price of the webcam.,280,Percent,
Ivan can grade 25 quizzes per hour. Find how many quizzes Ivan can grade in 4 hours.,100,Applications,
Taylor makes 18 dollars per hour at her job. Find how many dollars Taylor earns in 3.5 hours.,63,Applications,
Uri can walk 7 km in 2 hours. Find how many kilometers Uri can walk per hour.,3.5,Applications,
"Apu takes the express train from Springfield to Capital City, and a regular train on his way back from Capital City to Springfield. The express completes the trip in 4 hours 30 minutes, while the regular train covers the same distance in 6 hours. Find the speed of the express, in miles per hour, if the express runs 15 miles per hour faster.",60,Applications,
"Kay and July are opening the incoming mail together, with the goal of processing 400 envelopes. Find how many hours they need to complete the task if Kay can process 15 envelopes per hour, and July can process 35 envelopes per hour.",8,Applications,
"One morning Aristotle starts walking from Athens to Megara, and at the same time Socrates starts on a journey from Megara to Athens. Being younger, Aristotle is walking 1.8 times faster than Socrates. After a 5 hour journey, they meet somewhere in the middle of the way. Find the speed of Aristotle, in km per hour, if the total distance between Athens and Megara is 42 km.",5.4,Applications,
The top speed of a bullet train is 210 km per hour. Find how many hours it takes to travel 168 km at top speed.,0.8,Applications,
A standard computer hard drive rotates at 5400 revolutions per minute. Find the number of revolutions over 10 seconds.,900,Applications,
Eve typed up a 4050 word document over two and a half hours. Find Eve’s typing rate in words per minute.,27,Applications,
Jamie charges $80 per hour for her paralegal work. Find how many hours she has to work in order to earn $2000.,25,Applications,
It takes Bongo two and a half hours to mow the front lawn. Find how many times he can mow the same lawn in 40 hours.,16,Applications,
"Alice paddled for 3 hours upstream and then for 2 hours downstream. When going downstream, her speed was 10 mph greater than her speed when going upstream. The total distance traveled was 30 miles. How fast did Alice travel upstream, in mph?",2,Applications,
"Ridwan can plant 4 trees per hour, and Sue can plant 5.5 trees per hour. Find how many hours they need to plant 285 trees, if they are working together.",30,Applications,
"A passenger and a freight train start toward each other at the same time from two points 300 miles apart. If the rate of the passenger train exceeds the rate of the freight train by 15 miles per hour, and they meet after 4 hours, what must the rate of the passenger be, in miles per hour?",45,Applications,
"Lab 1 can process blood samples 3 times faster than Lab 2. Working together, the two labs can process 84 samples over 7 days. Find the rate of work for Lab 1, in samples per day.",9,Applications,
"Two automobiles started at the same time from a point, but traveled in opposite directions. Their rates were 25 and 35 miles per hour respectively. After how many hours were they 180 miles apart?",3,Applications,
"Suzy pays $111 for an order of 4 black printer cartridges and 7 color cartridges. When supplies start running low, she goes back to the same store and pays $126 for an order of 3 black and 10 color cartridges. Find the price of one black cartridge.",12,Applications of Systems,
"A chemist receives an order for 10 liters of 48% isopropyl solution, that is, a solution consisting of 48 parts of isopropyl alcohol and 52 parts of water by volume. The stockroom only has some 15% solution and some 70% solution. How many liters of the 15% solution is needed in order to fulfill the order?",4,Applications of Systems,
"Charlie has in his coin jar a certain number of quarters and nickels. There are 77 coins in the jar, and together they are worth $6.05. Find how many quarters are in the jar.",11,Applications of Systems,
A collection of dimes and quarters is worth $15.25. There are 103 coins in all. How many of dimes are there?,70,Applications of Systems,
There were 429 people at a play. Admission was $1 each for adults and 75 cents each for children. The receipts were $372.50. How many children attended?,226,Applications of Systems,
"A total of $27000 is invested, part of it at 12% and the rest at 13%. The total interest after one year is $3385. How much was invested at 12%?",12500,Applications of Systems,
A coin bank contains nickels and dimes. The number of dimes is 10 less than twice the number of nickels. The total value of all the coins is $2.75. Find the number of nicklels in the bank.,15,Applications of Systems,
"A total of $9000 is invested, part of it at 10% and the rest at 12%. The total interest after one year is $1030. How much was invested at 10%?",2500,Applications of Systems,
"At a coin-operated laundromat, using the washer 6 times and then the dryer 6 times costs $13.50, while using the washer 4 times and then the dryer 8 times costs $12. Find the cost of one wash.",1.5,Applications of Systems,
A tea that is 20% jasmine is blended with a tea that is 15% jasmine. How many pounds of 20% jasmine tea are needed to make 5 lb of tea that is 18% jasmine?,3,Applications of Systems,
"A party with 3 adults and 2 children pays 45 dollars for their tickets at Acme Theater. Another party, with 4 adults and 4 children, pays 68 dollars. Find the price of one adult ticket.",11,Applications of Systems,
"Every Monday Helen shares coffee and donuts with the office where she works. One week Helen buys 4 cups of coffee and 6 donuts, and pays 18 dollars. The next week Helen buys 6 cups of coffee and 12 donuts, and pays 30 dollars. Find the price of one cup of coffee.",3,Applications of Systems,
Ivan’s math class has 1.2 times more students than Ivan’s statistics class. Find how many people are enrolled in the statistics class has if the math class has 30 students.,25,Linear Equations,
"Bart, Millhouse, and Martin Prince saved up 149 dollars for a collectible comic book. Find how much money Bart saved up if Bart contributed 3 times less than Millhouse, and Martin contributed 9 dollars more than Millhouse.",20,Linear Equations,
A quantity increased by 14% and is now 171. Find the quantity before the increase.,150,Linear Equations,
A quantity decreased from 140 to 133. Find the percent decrease.,5,Linear Equations,
"John paid 24% income tax on the total income of $28,000. Find how much money John has made after tax.",21280,Linear Equations,
"A contractor buys a residential property, renovates it, and then sells (flips) it with 25% markup. If the the sale price is $160, 000, find how much the contractor has paid for the property.",128000,Linear Equations,
"Shannon’s business serves 14 clients per day on average. Find the time needed to serve 518 clients, in days.",37,Linear Equations,
"Two cars, a Lotus and a Renault, are 635 kilometers apart. They start at the same time and drive toward each other. The Lotus travels at a rate of 70 kilometers per hour and the Renault travels at 57 kilometers per hour. In how many hours will the two cars meet?",5,Linear Equations,
"Jane’s monthly car loan payment is one quarter of her monthly house loan payment. Find her monthly car loan payment rate, in dollars per month, if Jane pays 19200 dollars in total over the course of the year.",320,Linear Equations,
"In the morning, the temperature in Urbana, Illinois was 11 degrees. By mid-afternoon, the temperature had dropped to −9 degrees. What was the difference of the morning and afternoon temperatures?",20,Multiply and Divide Integers,Access for free at openstax.org. https://openstax.org/details/books/elementary-algebra-2e
The Mustangs football team received three penalties in the third quarter. Each penalty gave them a loss of fifteen yards. What is the number of yards lost?,45,Multiply and Divide Integers,Access for free at openstax.org. https://openstax.org/details/books/elementary-algebra-2e
"On January  15, the high temperature in Anaheim, California, was  84°. That same day, the high temperature in Embarrass, Minnesota was  −12°. What was the difference between the temperature in Anaheim and the temperature in Embarrass?",96,Multiply and Divide Integers,Access for free at openstax.org. https://openstax.org/details/books/elementary-algebra-2e
"On the first down, the Chargers had the ball on their 25-yard line. They lost 6 yards on the first-down play, gained 10 yards on the second-down play, and lost 8 yards on the third-down play. What was the yard line at the end of the third-down play?",21,Multiply and Divide Integers,Access for free at openstax.org. https://openstax.org/details/books/elementary-algebra-2e
Mayra has $124 in her checking account. She writes a check for $152. What is the new balance in her checking account?,-28,Multiply and Divide Integers,Access for free at openstax.org. https://openstax.org/details/books/elementary-algebra-2e
Diontre has a balance of −$38 in his checking account. He deposits $225 to the account. What is the new balance?,187,Multiply and Divide Integers,Access for free at openstax.org. https://openstax.org/details/books/elementary-algebra-2e
"Javier owns 300 shares of stock in one company. On Tuesday, the stock price dropped $12 per share. What was the total effect on Javier’s portfolio?",-3600,Multiply and Divide Integers,Access for free at openstax.org. https://openstax.org/details/books/elementary-algebra-2e
Don purchased a bulk package of candy that weighs 5 pounds. He wants to sell the candy in little bags that hold 14 pound. How many little bags of candy can he fill from the bulk package?,20,Visualize Fractions,Access for free at openstax.org. https://openstax.org/details/books/elementary-algebra-2e
"Field trip All the 5th graders at Lincoln Elementary School will go on a field trip to the science museum. Counting all the children, teachers, and chaperones, there will be 147 people. Each bus holds 44 people. How many busses will be needed?",4,Add and Subtract Fractions,Access for free at openstax.org. https://openstax.org/details/books/elementary-algebra-2e
Julian drinks one can of soda every day. Each can of soda contains 40 grams of sugar. How many kilograms of sugar does Julian get from soda in 1 year?,14.6,Systems of Measurement,Access for free at openstax.org. https://openstax.org/details/books/elementary-algebra-2e
"The high temperature one day in Miami Beach, Florida, was 76° . That same day, the high temperature in Buffalo, New York was −8° . What was the difference between the temperature in Miami Beach and the temperature in Buffalo?",84,Add and Subtract Integers,Access for free at openstax.org. https://openstax.org/details/books/elementary-algebra-2e
"The MacIntyre family recycled newspapers for two months. The two months of newspapers weighed a total of 57 pounds. The second month, the newspapers weighed 28 pounds. How much did the newspapers weigh the first month?",29,Solve Equations Using the Subtraction and Addition Properties of Equality,Access for free at openstax.org. https://openstax.org/details/books/elementary-algebra-2e
"Randell paid $28,675 for his new car. This was $875 less than the sticker price. What was the sticker price of the car?",29550,Solve Equations Using the Subtraction and Addition Properties of Equality,Access for free at openstax.org. https://openstax.org/details/books/elementary-algebra-2e
"Avril rode her bike a total of 18 miles, from home to the library and then to the beach. The distance from Avril’s house to the library is 7 miles. What is the distance from the library to the beach, in miles?",11,Solve Equations Using the Subtraction and Addition Properties of Equality,Access for free at openstax.org. https://openstax.org/details/books/elementary-algebra-2e
Eva’s daughter is 15 years younger than her son. Eva’s son is 22 years old. How old is her daughter?,7,Solve Equations Using the Subtraction and Addition Properties of Equality,Access for free at openstax.org. https://openstax.org/details/books/elementary-algebra-2e
"For a family birthday dinner, Celeste bought a turkey that weighed 5 pounds less than the one she bought for Thanksgiving. The birthday turkey weighed 16 pounds. How much did the Thanksgiving turkey weigh, in pounds?",21,Solve Equations Using the Subtraction and Addition Properties of Equality,Access for free at openstax.org. https://openstax.org/details/books/elementary-algebra-2e
Connor’s temperature was 0.7 degrees higher this morning than it had been last night. His temperature this morning was 101.2 degrees. What was his temperature last night?,100.5,Solve Equations Using the Subtraction and Addition Properties of Equality,Access for free at openstax.org. https://openstax.org/details/books/elementary-algebra-2e
Ron’s paycheck this week was $17.43 less than his paycheck last week. His paycheck this week was $103.76. How much was Ron’s paycheck last week?,121.19,Solve Equations Using the Subtraction and Addition Properties of Equality,Access for free at openstax.org. https://openstax.org/details/books/elementary-algebra-2e
Denae bought 6 pounds of grapes for $10.74. What was the cost of one pound of grapes?,1.79,Solve Equations using the Division and Multiplication Properties of Equality,Access for free at openstax.org. https://openstax.org/details/books/elementary-algebra-2e
"Andreas bought a used car for $12,000. Because the car was 4-years old, its price was 3/4 of the original price, when the car was new. What was the original price of the car?",16000,Solve Equations using the Division and Multiplication Properties of Equality,Access for free at openstax.org. https://openstax.org/details/books/elementary-algebra-2e
Ramona bought 18 balloons for a party. She wants to make 3 equal bunches. How many balloons did she use in each bunch?,6,Solve Equations using the Division and Multiplication Properties of Equality,Access for free at openstax.org. https://openstax.org/details/books/elementary-algebra-2e
Serena paid $12.96 for a pack of 12 pairs of sport socks. What was the price of pair of sport socks?,1.08,Solve Equations using the Division and Multiplication Properties of Equality,Access for free at openstax.org. https://openstax.org/details/books/elementary-algebra-2e
John’s SUV gets 18 miles per gallon (mpg). This is half as many mpg as his wife’s hybrid car. How many miles per gallon does the hybrid car get?,36,Solve Equations using the Division and Multiplication Properties of Equality,Access for free at openstax.org. https://openstax.org/details/books/elementary-algebra-2e
"Bea earned $11,700 commission for selling a house, calculated as 6/100 selling price. What was the selling price of the house?",195000,Solve Equations using the Division and Multiplication Properties of Equality,Access for free at openstax.org. https://openstax.org/details/books/elementary-algebra-2e
"Rey is planning to drive from his house in San Diego to visit his grandmother in Sacramento, a distance of 520 miles. If he can drive at a steady rate of 65 miles per hour, how many hours will the trip take?",8,Solve a Formula for a Specific Variable,Access for free at openstax.org. https://openstax.org/details/books/elementary-algebra-2e
"Megan is taking the bus from New York City to Montreal. The distance is 380 miles and the bus travels at a steady rate of 76 miles per hour. How long will the bus ride be, in hours?",5,Solve a Formula for a Specific Variable,Access for free at openstax.org. https://openstax.org/details/books/elementary-algebra-2e
"Kareem wants to ride his bike from St. Louis to Champaign, Illinois. The distance is 180 miles. If he rides at a steady rate of 16 miles per hour, how many hours will the trip take?",11.25,Solve a Formula for a Specific Variable,Access for free at openstax.org. https://openstax.org/details/books/elementary-algebra-2e
"Alejandra is driving to Cincinnati, 450 miles away. If she wants to be there in 6 hours, at what rate does she need to drive, in miles per hour?",75,Solve a Formula for a Specific Variable,Access for free at openstax.org. https://openstax.org/details/books/elementary-algebra-2e
"Philip got a ride with a friend from Denver to Las Vegas, a distance of 750 miles. If the trip took 10 hours, how fast was the friend driving, in miles per hour?",75,Solve a Formula for a Specific Variable,Access for free at openstax.org. https://openstax.org/details/books/elementary-algebra-2e
Tan weighs 146 pounds. Minh weighs 15 pounds more than Tan. How much does Minh weigh?,161,Solve Equations Using the Subtraction and Addition Properties of Equality,Access for free at openstax.org. https://openstax.org/details/books/elementary-algebra-2e
"Elissa earned $152.84 this week, which was $21.65 more than she earned last week. How much did she earn last week?",131.19,Solve Equations Using the Subtraction and Addition Properties of Equality,Access for free at openstax.org. https://openstax.org/details/books/elementary-algebra-2e
Janet gets paid $24 per hour. She heard that this is 3/4 of what Adam is paid. How much is Adam paid per hour?,32,Solve Equations using the Division and Multiplication Properties of Equality,Access for free at openstax.org. https://openstax.org/details/books/elementary-algebra-2e
"Two-thirds of the children in the fourth-grade class are girls. If there are 20 girls, what is the total number of children in the class?",30,Use a Problem-Solving Strategy,Access for free at openstax.org. https://openstax.org/details/books/elementary-algebra-2e
"Zachary has 25 country music CDs, which is one-fifth of his CD collection. How many CDs does Zachary have?",125,Use a Problem-Solving Strategy,Access for free at openstax.org. https://openstax.org/details/books/elementary-algebra-2e
There are 16 girls in a school club. The number of girls is four more than twice the number of boys. Find the number of boys.,6,Use a Problem-Solving Strategy,Access for free at openstax.org. https://openstax.org/details/books/elementary-algebra-2e
Huong is organizing paperback and hardback books for her club’s used book sale. The number of paperbacks is 12 less than three times the number of hardbacks. Huong had 162 paperbacks. How many hardback books were there?,58,Use a Problem-Solving Strategy,Access for free at openstax.org. https://openstax.org/details/books/elementary-algebra-2e
"Philip pays $1,620 in rent every month. This amount is $120 more than twice what his brother Paul pays for rent. How much does Paul pay for rent?",750,Use a Problem-Solving Strategy,Access for free at openstax.org. https://openstax.org/details/books/elementary-algebra-2e
"Laurie has $46,000 invested in stocks and bonds. The amount invested in stocks is $8,000 less than three times the amount invested in bonds. How much does Laurie have invested in bonds?",13500,Use a Problem-Solving Strategy,Access for free at openstax.org. https://openstax.org/details/books/elementary-algebra-2e
The sum of a number and eight is 12. Find the number.,4,Use a Problem-Solving Strategy,Access for free at openstax.org. https://openstax.org/details/books/elementary-algebra-2e
The sum of three times a number and eight is 23. Find the number.,5,Use a Problem-Solving Strategy,Access for free at openstax.org. https://openstax.org/details/books/elementary-algebra-2e
Three times the sum of a number and nine is 12. Find the number.,-5,Use a Problem-Solving Strategy,Access for free at openstax.org. https://openstax.org/details/books/elementary-algebra-2e
Patty paid $35 for a purse on sale for $10 off the original price. What was the original price of the purse?,45,Use a Problem-Solving Strategy,Access for free at openstax.org. https://openstax.org/details/books/elementary-algebra-2e
Minh spent $6.25 on five sticker books to give his nephews. Find the cost of each sticker book.,1.25,Use a Problem-Solving Strategy,Access for free at openstax.org. https://openstax.org/details/books/elementary-algebra-2e
"Tom paid $1,166.40 for a new refrigerator, including $86.40 tax. What was the price of the refrigerator?",1080,Use a Problem-Solving Strategy,Access for free at openstax.org. https://openstax.org/details/books/elementary-algebra-2e
"Dezohn and his girlfriend enjoyed a nice dinner at a restaurant and his bill was $68.50. He wants to leave an 18% tip. If the tip will be 18% of the total bill, how much tip should he leave?",12.33,Solve Percent Applications,Access for free at openstax.org. https://openstax.org/details/books/elementary-algebra-2e
"The label on Masao’s breakfast cereal said that one serving of cereal provides 85 milligrams (mg) of potassium, which is 2% of the recommended daily amount. What is the total recommended daily amount of potassium?",4250,Solve Percent Applications,Access for free at openstax.org. https://openstax.org/details/books/elementary-algebra-2e
"Mitzi received some gourmet brownies as a gift. The wrapper said each brownie was 480 calories, and had 240 calories of fat. What percent of the total calories in each brownie comes from fat?",50,Solve Percent Applications,Access for free at openstax.org. https://openstax.org/details/books/elementary-algebra-2e
The average price of a gallon of gas in one city in June 2014 was $3.71. The average price in that city in July was $3.64. Find the percent decrease.,1.9,Solve Percent Applications,Access for free at openstax.org. https://openstax.org/details/books/elementary-algebra-2e
Geneva treated her parents to dinner at their favorite restaurant. The bill was $74.25. Geneva wants to leave 16% of the total bill as a tip. How much should the tip be?,11.88,Solve Percent Applications,Access for free at openstax.org. https://openstax.org/details/books/elementary-algebra-2e
Trong has 12% of each paycheck automatically deposited to his savings account. His last paycheck was $2165. How much money was deposited to Trong’s savings account?,259.8,Solve Percent Applications,Access for free at openstax.org. https://openstax.org/details/books/elementary-algebra-2e
"One serving of oatmeal has eight grams of fiber, which is 33% of the recommended daily amount. What is the total recommended daily amount of fiber, in grams?",24.2,Solve Percent Applications,Access for free at openstax.org. https://openstax.org/details/books/elementary-algebra-2e
"A bacon cheeseburger at a popular fast food restaurant contains 2070 milligrams (mg) of sodium, which is 86% of the recommended daily amount. What is the total recommended daily amount of sodium, in milligrams?",2407,Solve Percent Applications,Access for free at openstax.org. https://openstax.org/details/books/elementary-algebra-2e
"After 3 months on a diet, Lisa had lost 12% of her original weight. She lost 21 pounds. What was Lisa’s original weight, in pounds?",175,Solve Percent Applications,Access for free at openstax.org. https://openstax.org/details/books/elementary-algebra-2e
Yuki bought a dress on sale for $72. The sale price was 60% of the original price. What was the original price of the dress?,120,Solve Percent Applications,Access for free at openstax.org. https://openstax.org/details/books/elementary-algebra-2e
Tim left a $9 tip for a $50 restaurant bill. What percent tip did he leave?,18,Solve Percent Applications,Access for free at openstax.org. https://openstax.org/details/books/elementary-algebra-2e
"The nutrition fact sheet at a fast food restaurant says the fish sandwich has 380 calories, and 171 calories are from fat. What percent of the total calories is from fat?",45,Solve Percent Applications,Access for free at openstax.org. https://openstax.org/details/books/elementary-algebra-2e
"Emma gets paid $3,000 per month. She pays $750 a month for rent. What percent of her monthly pay goes to rent?",25,Solve Percent Applications,Access for free at openstax.org. https://openstax.org/details/books/elementary-algebra-2e
"Tamanika got a raise in her hourly pay, from $15.50 to $17.36. Find the percent increase.",12,Solve Percent Applications,Access for free at openstax.org. https://openstax.org/details/books/elementary-algebra-2e
"Annual student fees at the University of California rose from about $4,000 in 2000 to about $12,000 in 2010. Find the percent increase.",200,Solve Percent Applications,Access for free at openstax.org. https://openstax.org/details/books/elementary-algebra-2e
A grocery store reduced the price of a loaf of bread from $2.80 to $2.73. Find the percent decrease.,2.5,Solve Percent Applications,Access for free at openstax.org. https://openstax.org/details/books/elementary-algebra-2e
"Hernando’s salary was $49,500 last year. This year his salary was cut to $44,055. Find the percent decrease.",11,Solve Percent Applications,Access for free at openstax.org. https://openstax.org/details/books/elementary-algebra-2e
"At the campus coffee cart, a medium coffee costs $1.65. MaryAnne brings $2.00 with her when she buys a cup of coffee and leaves the change as a tip. What percent tip does she leave?",21.2,Solve Percent Applications,Access for free at openstax.org. https://openstax.org/details/books/elementary-algebra-2e
